HEADER     22/ 3/ 0 3.2     

B 
9 1 0 0 1 1  0 .0050000                    0            0       1
 
8
 
 
AA 01
 
101BUS-   1                   71.63992 27.04158 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.04000    0.000
101BUS-   2                   163.0000 6.648645 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.02500    9.280
101BUS-   3                   85.00000 -10.8628 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.02500    4.665
101BUS-   4                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.02579   -2.217
101BUS-   5                   .0000000 .0000000 125.0000 50.00000 .0000000 .0000000 100.0000    0  0.99564   -3.989
101BUS-   6                   .0000000 .0000000 90.00000 30.00000 .0000000 .0000000 100.0000    0  1.01266   -3.687
101BUS-   7                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.02577    3.720
101BUS-   8                   .0000000 .0000000 100.0000 35.00000 .0000000 .0000000 100.0000    0  1.01589    0.728
101BUS-   9                   .0000000 .0000000 .0000000 .0000000 .0000000 .0000000 100.0000    0  1.03235    1.967
 
5  BUS-   1                            .0000000 104.0000 3
5  BUS-   2          -99990.0 999900.0 .0000000 102.5000 1
5  BUS-   3          -99990.0 999900.0 .0000000 102.5000 1
 
30BUS-   7 BUS-   81 .0085000 .0720000 .0000000 .0745000 100.0000  0
30BUS-   9 BUS-   81 .0119000 .1008000 .0000000 .1045000 100.0000  0
30BUS-   7 BUS-   51 .0320000 .1610000 .0000000 .1530000 100.0000  0
30BUS-   9 BUS-   61 .0390000 .1700000 .0000000 .1790000 100.0000  0
30BUS-   5 BUS-   41 .0100000 .0850000 .0000000 .0880000 100.0000  0
30BUS-   6 BUS-   41 .0170000 .0920000 .0000000 .0790000 100.0000  0
 
41BUS-   4 BUS-   11 .0000000 .0576000 .0000000 .0000000 100.0000 1.000000  0
41BUS-   7 BUS-   21 .0000000 .0625000 .0000000 .0000000 100.0000 1.000000  0
41BUS-   9 BUS-   31 .0000000 .0586000 .0000000 .0000000 100.0000 1.000000  0
 
 
 
 
 
 
 
 
 
