(POWERFLOW,CASEID=EMS,PROJECT=TEST)
/P_INPUT_LIST,FULL\
/P_OUTPUT_LIST,FULL\
/P_ANALYSIS_RPT,LEVEL=4\
/TOLERANCE,AIPOWER=0.0001,Q=0.0001\
/SOL_ITER,DECOUPLED=2,CURRENT=0,NEWTON=30\
/NETWORK_DATA\
.234567890*234567890*234567890*234567890*234567890*234567890*234567890*234567890
BS    bus_1    100 1              -79.    65.8 99990-99991024                                                                                                                                                                                                                                              
B     bus_2    100 1              75.                                                                                                                                                                                                                                                                      
B     bus_3    100 112.8 6.2      .1                                                                                                                                                                                                                                                                       
B     bus_4    100 1          -.1 -122                                                                                                                                                                                                                                                                     
B     bus_5    100 116.5 8.       7.7                                                                                                                                                                                                                                                                      
B     bus_6    100 19.   6.8      114.                                                                                                                                                                                                                                                                     
B     bus_7    100 1          42.1-55.                                                                                                                                                                                                                                                                     
B     bus_8    100 1          -30.3.3                                                                                                                                                                                                                                                                      
B     bus_9    100 12.6  .9   -3.433.7                                                                                                                                                                                                                                                                     
B     bus_10   100 1          12.1-120                                                                                                                                                                                                                                                                     
B     bus_11   100 115.8 5.7  -9.195.7                                                                                                                                                                                                                                                                     
-999
.234567890*234567890*234567890*234567890*234567890*234567890*234567890*234567890
.234567890*234567890*234567890*234567890*234567890*234567890*234567890*234567890
L     bus_2    100 bus_1    100             .07068                                                                                                                                                                                                                                                         
L     bus_3    100 bus_2    100             .15399                                                                                                                                                                                                                                                         
L     bus_4    100 bus_2    100       .03773.04132                                                                                                                                                                                                                                                         
L     bus_5    100 bus_3    100       .1228 .18027                                                                                                                                                                                                                                                         
L     bus_5    100 bus_4    100             .45935                                                                                                                                                                                                                                                         
L     bus_6    100 bus_4    100             .01764                                                                                                                                                                                                                                                         
L     bus_7    100 bus_4    100       .61141.81177                                                                                                                                                                                                                                                         
L     bus_8    100 bus_7    100       .16209.21673                                                                                                                                                                                                                                                         
L     bus_9    100 bus_8    100       .07185.71797                                                                                                                                                                                                                                                         
L     bus_10   100 bus_8    100       .40977.56                                                                                                                                                                                                                                                            
L     bus_11   100 bus_10   100       .02645.26459                                                                                                                                                                                                                                                         
.234567890*234567890*234567890*234567890*234567890*234567890*234567890*234567890
(END)
