CASE 145bpa      
C 145bpa Nodes System
LS  bus-7    100  bus-6    100      1  0.            
LS -bus-7    100 -bus-6    100     -1  6.        
MC bus-60   100 141.48 1. 1. 100     4769
MC bus-67   100   5218 1. 1. 100     0213
MC bus-79   100    665 1. 1. 100     1292
MC bus-80   100 128.57 1. 1. 100     6648
MC bus-82   100  211.5 1. 1. 100     5291
MC bus-89   100 2056.0 1. 1. 100     0585
MC bus-90   100  76.28 1. 1. 100    16000
MC bus-91   100 168.48 1. 1. 100     3718
MC bus-93   100  11504 1. 1. 100     0240
MC bus-94   100 1734.2 1. 1. 100     0839
MC bus-95   100 546.62 1. 1. 100     1619
MC bus-96   100 212.16 1. 1. 100     4824
MC bus-97   100 549.12 1. 1. 100     2125
MC bus-98   100   1396 1. 1. 100      795
MC bus-99   100 1710.8 1. 1. 100     1146
MC bus-100  100    756 1. 1. 100     1386
MC bus-101  100 1228.4 1. 1. 100     0924
MC bus-102  100 7843.6 1. 1. 100     0135
MC bus-103  100    816 1. 1. 100     1063
MC bus-104  100   7385 1. 1. 100     0122
MC bus-105  100 8439.2 1. 1. 100     0208
MC bus-106  100 5626.1 1. 1. 100     0312
MC bus-108  100 3043.2 1. 1. 100     0248
MC bus-109  100 266.22 1. 1. 100     2029
MC bus-110  100  11504 1. 1. 100      240
MC bus-111  100   7385 1. 1. 100      122
MC bus-112  100   1228 1. 1. 100      924
MC bus-115  100   9733 1. 1. 100       24
MC bus-116  100  10550 1. 1. 100       22
MC bus-117  100  10216 1. 1. 100       17
MC bus-118  100  16274 1. 1. 100       14
MC bus-119  100  34822 1. 1. 100       02
MC bus-121  100  11654 1. 1. 100       17
MC bus-122  100   3924 1. 1. 100       89
MC bus-124  100  11686 1. 1. 100       17
MC bus-128  100  50387 1. 1. 100        1
MC bus-130  100  23090 1. 1. 100       10
MC bus-131  100 110172 1. 1. 100       01
MC bus-132  100  12035 1. 1. 100       16
MC bus-134  100  80212 1. 1. 100       03
MC bus-135  100  23263 1. 1. 100       08
MC bus-136  100 201817 1. 1. 100       01
MC bus-137  100  46932 1. 1. 100       04
MC bus-139  100 221020 1. 1. 100       01
MC bus-140  100  89919 1. 1. 100       03
MC bus-141  100 147433 1. 1. 100       01
MC bus-142  100  95080 1. 1. 100       03
MC bus-143  100  20430 1. 1. 100       23
MC bus-144  100  44322 1. 1. 100       04
MC bus-145  100  51808 1. 1. 100       18

FF      0.5 300.                                      60 1         
90
MH                                                       100
GH 1  bus-139 100                                                            
G  bus-60   100    1
G  bus-67   100    1
G  bus-79   100    1
G  bus-80   100    1
G  bus-82   100    1
G  bus-89   100    1
G  bus-90   100    1
G  bus-91   100    1
G  bus-93   100    1
G  bus-94   100    1
G  bus-95   100    1
G  bus-96   100    1
G  bus-97   100    1
G  bus-98   100    1
G  bus-99   100    1
G  bus-100  100    1
G  bus-101  100    1
G  bus-102  100    1
G  bus-103  100    1
G  bus-104  100    1
G  bus-105  100    1 
G  bus-106  100    1
G  bus-108  100    1
G  bus-109  100    1
G  bus-110  100    1
G  bus-111  100    1
G  bus-112  100    1
G  bus-115  100    1
G  bus-116  100    1
G  bus-117  100    1
G  bus-118  100    1
G  bus-119  100    1
G  bus-121  100    1
G  bus-122  100    1
G  bus-124  100    1
G  bus-128  100    1
G  bus-130  100    1 
G  bus-131  100    1 
G  bus-132  100    1  
G  bus-134  100    1  
G  bus-135  100    1  
G  bus-136  100    1 
G  bus-137  100    1 
G  bus-139  100    1 
G  bus-140  100    1 
G  bus-141  100    1 
G  bus-142  100    1  
G  bus-143  100    1  
G  bus-144  100    1  
G  bus-145  100    1
99
