 2000-02-23 Tsinghua Univ. EEA Dept.
lftype.h
************************
SYSBASE ... 100.00000
*
THLOAD  LD1  bus-34          0.4505         0.4656
THLOAD  LD2  bus-35          0.4919         0.2753
THLOAD  LD3  bus-51          0.5845         0.2844
THLOAD  LD4  bus-58          0.7630        -0.1080
THLOAD  LD5  bus-66          1.0220         0.2670
THLOAD  LD6  bus-68          0.0000        -0.0741
THLOAD  LD7  bus-70          0.0000         0.5663
THLOAD  LD8  bus-71          0.0000        -0.2120
THLOAD  LD9  bus-74          0.8190         0.4370
THLOAD  LD10  bus-78          0.8900         0.2680
THLOAD  LD11  bus-79          0.0910         0.0300
THLOAD  LD12  bus-80          0.1710         0.0500
THLOAD  LD13  bus-81          0.8220        -0.9310
THLOAD  LD14  bus-82          0.0210         0.0110
THLOAD  LD15  bus-84          0.2430         0.0820
THLOAD  LD16  bus-85          0.2740         0.0030
THLOAD  LD17  bus-88          0.6900         0.2090
THLOAD  LD18  bus-89          0.0060         0.0020
THLOAD  LD19  bus-90          0.0460         0.0150
THLOAD  LD20  bus-92          0.0000         0.3102
THLOAD  LD21  bus-93          1.0040         0.7320
THLOAD  LD22  bus-94          0.1540         0.0760
THLOAD  LD23  bus-95          0.0670         0.0220
THLOAD  LD24  bus-99          0.1046         0.0523
THLOAD  LD25  bus-101          0.1780         0.0450
THLOAD  LD26  bus-102          0.3760         0.0920
THLOAD  LD27  bus-104          0.3020         0.0760
THLOAD  LD28  bus-105          0.9600         1.6740
THLOAD  LD29  bus-106          0.6400         0.1600
THLOAD  LD30  bus-107         -0.1750        -0.1280
THLOAD  LD31  bus-110          1.0040         0.7320
THLOAD  LD32  bus-111          0.6040        11.6600
THLOAD  LD33  bus-112          0.1860         0.0460
THLOAD  LD34  bus-115          6.8350         1.8470
THLOAD  LD35  bus-116          7.9260         3.1550
THLOAD  LD36  bus-117          4.8530         0.7140
THLOAD  LD37  bus-118          6.5190         3.2840
THLOAD  LD38  bus-119         20.9400        37.7400
THLOAD  LD39  bus-120         -4.0800         1.7510
THLOAD  LD40  bus-121          2.3770        -0.1730
THLOAD  LD41  bus-122          0.2920         0.0700
THLOAD  LD42  bus-123         -0.8400        -0.1900
THLOAD  LD43  bus-124          0.9410         7.8030
THLOAD  LD44  bus-125         -7.1200        -3.1900
THLOAD  LD45  bus-126         -3.3300        -1.6000
THLOAD  LD46  bus-127         -5.4600        -0.7200
THLOAD  LD47  bus-128         40.7500         7.0350
THLOAD  LD48  bus-129         -4.8200        -1.2200
THLOAD  LD49  bus-130         43.2800         9.4430
THLOAD  LD50  bus-131        218.4000        43.2000
THLOAD  LD51  bus-132          4.9190         1.1020
THLOAD  LD52  bus-133         -0.8300        -0.3630
THLOAD  LD53  bus-134        223.0900        74.0200
THLOAD  LD54  bus-135         42.9800        12.6400
THLOAD  LD55  bus-136        529.5100       135.5200
THLOAD  LD56  bus-137        129.4600        26.0800
THLOAD  LD57  bus-138         -3.6300        -1.8800
THLOAD  LD58  bus-139        577.1800       139.3600
THLOAD  LD59  bus-140        247.7500        66.7600
THLOAD  LD60  bus-141        327.9900       113.6100
THLOAD  LD61  bus-142        177.3700        39.3400
THLOAD  LD62  bus-143         46.7200        17.0900
THLOAD  LD63  bus-144         96.0200        22.0300
THLOAD  LD64  bus-145         91.7300        15.5500
THSHUNT sh_1  bus-3          0.0000         1.2600
THSHUNT sh_2  bus-4          0.0000         1.2600
THSHUNT sh_3  bus-5          0.0000         1.2600
THSHUNT sh_4  bus-15          0.0000         1.2600
THSHUNT sh_5  bus-16          0.0000         1.2600
THSHUNT sh_6  bus-17          0.0000         2.5000
THSHUNT sh_7  bus-18          0.0000         1.2600
THSHUNT sh_8  bus-19          0.0000         0.5800
THSHUNT sh_9  bus-28          0.0000         1.2600
THSHUNT sh_10  bus-29          0.0000         1.2600
THSHUNT sh_11  bus-41          0.5400         0.1000
THSHUNT sh_12  bus-42          0.5480         0.1000
THSHUNT sh_13  bus-47          0.1520        -0.0537
THSHUNT sh_14  bus-48          0.1380        -0.0520
THSHUNT sh_15  bus-52          0.2300         0.0970
THSHUNT sh_16  bus-53          0.2320         0.0970
THSHUNT sh_17  bus-54          0.1880         0.0930
THSHUNT sh_18  bus-55          0.1870         0.0920
THSHUNT sh_19  bus-56          0.1860         0.0750
THSHUNT sh_20  bus-57          0.1880         0.0700
THSHUNT sh_21  bus-58          1.2100        -1.4000
THSHUNT sh_22  bus-59          5.0800        -0.0863
THSHUNT sh_23  bus-60          2.0100        -1.6500
THSHUNT sh_24  bus-61          0.0000        -1.4900
THSHUNT sh_25  bus-63          8.2300        -5.2500
THSHUNT sh_26  bus-64          1.2300         0.2600
THSHUNT sh_27  bus-65          1.2400         0.2600
THSHUNT sh_28  bus-66          2.1600       -18.9700
THSHUNT sh_29  bus-67         18.2100       -12.8000
THSHUNT sh_30  bus-68          0.5630         0.2500
THSHUNT sh_31  bus-69          9.7100         1.4400
THSHUNT sh_32  bus-70          1.0300         0.8600
THSHUNT sh_33  bus-71          1.0600         1.2200
THSHUNT sh_34  bus-72         10.1900        -0.2460
THSHUNT sh_35  bus-73         12.2200        -8.4100
THSHUNT sh_36  bus-74          8.5700        -5.7400
THSHUNT sh_37  bus-75          3.8700        -1.9900
THSHUNT sh_38  bus-76         -6.6700         1.8500
THSHUNT sh_39  bus-77          0.0000         1.2500
THSHUNT sh_40  bus-79          2.3800        -0.2710
THSHUNT sh_41  bus-80         -0.0008        -0.2990
THSHUNT sh_42  bus-81          0.7000         0.4700
THSHUNT sh_43  bus-82          1.1100         0.2800
THSHUNT sh_44  bus-83          1.0500         0.0042
THSHUNT sh_45  bus-86          2.9200         0.2200
THSHUNT sh_46  bus-87          0.3770         0.4700
THSHUNT sh_47  bus-89          6.7800        -0.7110
THSHUNT sh_48  bus-90          0.2950         0.1900
THSHUNT sh_49  bus-91          0.1930         0.2700
THSHUNT sh_50  bus-92          0.4340         0.4300
THSHUNT sh_51  bus-94          1.4000         1.4100
THSHUNT sh_52  bus-95          0.2720         0.5800
THSHUNT sh_53  bus-96          0.4780         0.4500
THSHUNT sh_54  bus-97          1.2900         1.7700
THSHUNT sh_55  bus-98          0.8210         1.2100
THSHUNT sh_56  bus-100          0.5910         1.0100
THSHUNT sh_57  bus-101          0.6470         2.3800
THSHUNT sh_58  bus-102          4.5800         6.1900
THSHUNT sh_59  bus-103          0.6240         0.4500
THSHUNT sh_60  bus-105          0.2420         9.9900
THSHUNT sh_61  bus-106          0.3690         7.1900
THSHUNT sh_62  bus-107          0.2880         0.2200
THSHUNT sh_63  bus-108          5.2000         2.4400
THSHUNT sh_64  bus-109          0.8450         0.4700
THSHUNT sh_65  bus-111          0.2330         9.9900
THSHUNT sh_66  bus-112          0.6430         2.3600
THSHUNT sh_67  bus-115         28.5600        -0.0941
THSHUNT sh_68  bus-116         19.3000         1.9500
THSHUNT sh_69  bus-117         24.1000         0.5400
THSHUNT sh_70  bus-118         47.8800         9.7900
THSHUNT sh_71  bus-119         99.9900         9.9900
THSHUNT sh_72  bus-120         20.2600        -8.5500
THSHUNT sh_73  bus-121          3.0600       -10.5500
THSHUNT sh_74  bus-122          3.9700         0.6100
THSHUNT sh_75  bus-123          1.1800        -0.0140
THSHUNT sh_76  bus-124          7.6600         9.9900
THSHUNT sh_77  bus-125         28.3100         0.7100
THSHUNT sh_78  bus-126         16.0400        -3.4700
THSHUNT sh_79  bus-127          3.0500         0.5100
THSHUNT sh_80  bus-128         52.5200         4.7200
THSHUNT sh_81  bus-129         38.5500        -3.8700
THSHUNT sh_82  bus-130         38.3000         0.9100
THSHUNT sh_83  bus-131         51.4500         7.8000
THSHUNT sh_84  bus-132         12.3900         2.2600
THSHUNT sh_85  bus-133          1.0300         0.0590
THSHUNT sh_86  bus-134         -1.4100         0.7800
THSHUNT sh_87  bus-135         -9.9900        -8.3500
THSHUNT sh_88  bus-136         -9.9900        -3.7500
THSHUNT sh_89  bus-137          4.9900         2.1900
THSHUNT sh_90  bus-138          4.3300         0.8100
THSHUNT sh_91  bus-139         16.0900         9.9900
THSHUNT sh_92  bus-140         -2.8900         0.7700
THSHUNT sh_93  bus-141         52.1200         9.9900
